Date,Open,High,Low,Close,Adj Close,Volume
1987-08-01,0.000000,4.330065,4.044118,4.248366,0.721944,12410136
1987-09-01,0.000000,4.289216,3.901144,4.268791,0.725415,7003728
1987-10-01,0.000000,4.554739,3.533497,3.625408,0.616082,13561920
1987-11-01,0.000000,3.901144,3.349673,3.880719,0.659468,3942504
1987-12-01,0.000000,4.044118,3.809232,4.044118,0.687235,2161584
1988-01-01,0.000000,4.268791,4.064542,4.105392,0.697648,587520
1988-02-01,4.115605,4.146242,4.044118,4.084967,0.694177,1707480
1988-03-01,4.105392,4.309641,4.105392,4.217729,0.716738,962064
1988-04-01,4.217729,4.554739,4.217729,4.554739,0.774008,2282760
1988-05-01,4.534314,4.789624,4.534314,4.758987,0.815520,3249720
1988-06-01,4.820261,5.228758,4.820261,4.820261,0.826020,1922904
1988-07-01,4.820261,4.820261,4.411765,4.554739,0.780519,359856
1988-08-01,4.575163,4.575163,4.289216,4.411765,0.756019,326808
1988-09-01,4.411765,4.554739,4.411765,4.493464,0.770019,159120
1988-10-01,4.452614,4.922386,4.452614,4.881536,0.836520,1719720
1988-11-01,4.871324,4.901961,4.799837,4.901961,0.843344,230112
1988-12-01,4.922386,4.942810,4.820261,4.901961,0.843344,960840
1989-01-01,4.942810,5.024510,4.789624,4.820261,0.829289,973080
1989-02-01,4.779412,4.820261,4.411765,4.473039,0.769552,238680
1989-03-01,4.452614,4.697712,4.452614,4.677288,0.804691,160344
1989-04-01,4.718137,4.861111,4.493464,4.493464,0.773066,1096704
1989-05-01,4.493464,4.493464,4.105392,4.105392,0.713091,153000
1989-06-01,4.156454,4.156454,3.982843,4.125817,0.716640,324360
1989-07-01,4.125817,4.432190,4.125817,4.319853,0.750343,223992
1989-08-01,4.370915,4.401552,4.268791,4.309641,0.748569,296208
1989-09-01,4.309641,4.605801,4.268791,4.513889,0.784046,390456
1989-10-01,4.493464,4.503676,4.187092,4.238154,0.736152,132192
1989-11-01,4.187092,4.258578,4.187092,4.258578,0.748677,91800
1989-12-01,4.258578,4.432190,4.166667,4.411765,0.775608,386784
1990-01-01,4.421977,4.452614,3.880719,3.941993,0.693020,800496
1990-02-01,3.962418,4.187092,3.370098,3.370098,0.592478,435744
1990-03-01,3.400735,3.553922,2.900327,2.900327,0.509890,227664
1990-04-01,2.777778,3.778595,2.777778,3.758170,0.660703,351288
1990-05-01,3.758170,3.962418,3.513072,3.656046,0.654716,232560
1990-06-01,3.676471,4.064542,3.615196,4.013480,0.718726,212976
1990-07-01,4.054330,4.493464,4.054330,4.146242,0.742500,465120
1990-08-01,4.146242,4.146242,3.594771,3.737745,0.669347,77112
1990-09-01,3.758170,3.758170,3.063725,3.125000,0.559618,348840
1990-10-01,3.125000,4.125817,3.125000,3.921569,0.702266,391680
1990-11-01,3.901144,4.156454,3.839869,3.839869,0.700431,570384
1990-12-01,3.941993,4.166667,3.717320,3.829657,0.698569,204408
1991-01-01,3.819444,4.115605,3.431373,4.115605,0.750728,394128
1991-02-01,4.064542,4.564951,4.064542,4.452614,0.812202,1192176
1991-03-01,4.462827,4.493464,4.248366,4.350490,0.793573,880056
1991-04-01,4.350490,4.493464,4.064542,4.146242,0.756317,1115064
1991-05-01,4.125817,4.452614,4.044118,4.227941,0.781799,303552
1991-06-01,4.227941,4.227941,3.676471,3.727533,0.689267,1121184
1991-07-01,3.717320,3.870507,3.574346,3.839869,0.710040,594864
1991-08-01,3.829657,3.962418,3.615196,3.880719,0.717593,315792
1991-09-01,3.860294,4.023693,3.860294,4.003268,0.740254,782136
1991-10-01,3.982843,3.982843,3.737745,3.839869,0.710040,328032
1991-11-01,3.880719,3.880719,3.298611,3.339461,0.630027,668304
1991-12-01,3.308824,3.513072,3.165850,3.513072,0.662781,432072
1992-01-01,3.472222,3.880719,3.370098,3.758170,0.709022,1085688
1992-02-01,3.758170,3.941993,3.676471,3.921569,0.739849,369648
1992-03-01,3.962418,3.962418,3.533497,3.615196,0.682048,1992672
1992-04-01,3.533497,3.717320,3.482435,3.717320,0.701315,1416168
1992-05-01,3.717320,4.013480,3.645833,3.921569,0.746892,2044080
1992-06-01,3.982843,4.044118,3.656046,3.890931,0.741057,2000016
1992-07-01,3.890931,3.921569,3.125000,3.145425,0.599069,3239928
1992-08-01,3.104575,3.206699,2.859477,3.176062,0.604904,2107728
1992-09-01,3.206699,3.615196,2.941176,2.961601,0.564059,5255856
1992-10-01,2.818627,3.063725,2.696078,2.951389,0.562114,5045328
1992-11-01,2.890114,3.247549,2.869690,3.216912,0.635013,3936384
1992-12-01,3.165850,3.421160,2.900327,3.135212,0.618886,2406384
1993-01-01,3.104575,3.502859,3.063725,3.196487,0.630981,3280320
1993-02-01,3.176062,3.421160,3.135212,3.349673,0.661220,2487168
1993-03-01,3.349673,3.543709,3.308824,3.502859,0.691459,6637752
1993-04-01,3.502859,3.645833,3.370098,3.604984,0.711618,12769992
1993-05-01,3.594771,3.870507,3.543709,3.819444,0.771966,14249808
1993-06-01,3.747958,3.839869,3.502859,3.656046,0.738940,13031928
1993-07-01,3.635621,3.666258,3.380310,3.645833,0.736877,9471312
1993-08-01,3.625408,4.350490,3.615196,4.125817,0.842807,8618184
1993-09-01,4.044118,4.289216,4.003268,4.156454,0.849066,5766264
1993-10-01,4.146242,4.381127,4.105392,4.238154,0.865755,5405184
1993-11-01,4.258578,4.258578,3.523284,3.615196,0.745106,6820128
1993-12-01,3.666258,4.044118,3.625408,3.809232,0.785097,9592488
1994-01-01,3.809232,4.248366,3.594771,4.248366,0.875604,9669600
1994-02-01,4.207516,4.248366,4.003268,4.064542,0.845275,4903344
1994-03-01,4.084967,4.105392,3.768382,3.809232,0.792180,4352544
1994-04-01,3.799020,3.941993,3.329248,3.553922,0.739085,6337872
1994-05-01,3.584559,3.829657,3.441585,3.635621,0.768751,4897224
1994-06-01,3.615196,3.615196,2.818627,2.920752,0.617592,12959712
1994-07-01,2.930964,3.278186,2.777778,3.186275,0.757253,20513016
1994-08-01,3.257761,3.410948,3.196487,3.298611,0.793567,10544760
1994-09-01,3.257761,3.400735,3.033088,3.176062,0.764084,7200792
1994-10-01,3.114788,3.370098,2.951389,3.319036,0.798481,24103008
1994-11-01,3.329248,3.370098,3.237337,3.370098,0.819022,4069800
1994-12-01,3.329248,3.349673,3.063725,3.125000,0.759457,4896000
1995-01-01,3.145425,3.145425,2.828840,2.941176,0.714782,9929088
1995-02-01,2.941176,3.145425,2.879902,2.930964,0.720524,6839712
1995-03-01,2.941176,2.961601,2.655229,2.900327,0.712992,12568032
1995-04-01,2.900327,3.104575,2.787990,2.961601,0.728056,19462824
1995-05-01,2.971814,3.278186,2.961601,3.114788,0.778951,7591248
1995-06-01,3.104575,3.370098,3.063725,3.216912,0.804490,6794424
1995-07-01,3.267974,3.584559,3.257761,3.492647,0.873446,8479872
1995-08-01,3.492647,3.594771,3.308824,3.370098,0.853237,4740552
1995-09-01,3.380310,3.502859,3.298611,3.400735,0.860994,2992680
1995-10-01,3.400735,3.533497,3.196487,3.523284,0.892021,12733272
1995-11-01,3.513072,3.952206,3.502859,3.768382,0.965594,12424824
1995-12-01,3.768382,4.074755,3.666258,4.023693,1.031014,3649968
1996-01-01,4.176879,4.289216,3.778595,3.941993,1.010079,19952424
1996-02-01,3.941993,4.115605,3.676471,3.982843,1.031149,6495768
1996-03-01,3.993056,4.023693,3.574346,3.860294,0.999422,6791976
1996-04-01,3.860294,4.033905,3.788807,3.829657,0.991490,3532464
1996-05-01,3.809232,3.901144,3.686683,3.696895,0.965707,3760128
1996-06-01,3.707108,3.931781,3.676471,3.788807,0.989716,2288880
1996-07-01,3.809232,3.972631,3.737745,3.901144,1.019061,3806640
1996-08-01,3.921569,4.289216,3.921569,4.166667,1.100942,6842160
1996-09-01,4.074755,4.289216,4.054330,4.279003,1.130624,3795624
